player_id,first_name,last_name,team_id,position,jersey_number,date_of_birth,height_inches,weight_lbs,nationality,bats,throws,team_abbrev,season,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_game,last_game,dataid,status,active
129092,Jacob,Amaya,6,,,,,,,R,R,CWS,2025,37,1,0,1,0,0,1,0,35,0,0,0,0,0,0,3,20250327,20250809,amayj001,available,t
129835,Brad,Keller,21,,,,,,,R,R,CHC,2025,73,73,1,72,0,0,0,0,0,0,0,0,0,0,0,0,20250328,20251011,kellb003,available,t
129837,Carson,Kelly,21,,,,,,,R,R,CHC,2025,119,0,0,0,113,0,0,0,0,0,0,0,0,3,7,0,20250319,20251011,kellc002,available,t
129872,Andrew,Kittredge,21,,,,,,,R,R,CHC,2025,28,28,1,27,0,0,0,0,0,0,0,0,0,0,0,0,20250801,20251011,kitta001,available,t
129887,Brooks,Kriske,21,,,,,,,R,R,CHC,2025,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20250524,20250729,krisb001,available,t
129932,Luke,Little,21,,,,,,,L,L,CHC,2025,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20250416,20250818,littl001,available,t
129947,Nicky,Lopez,21,,,,,,,L,R,CHC,2025,14,0,0,0,0,0,1,12,2,0,0,0,0,1,3,0,20250426,20250518,lopen001,available,t
130042,Reese,McGuire,21,,,,,,,L,R,CHC,2025,45,1,0,1,43,0,0,0,0,0,0,0,0,0,2,1,20250525,20250928,mcgur002,available,t
130067,Julian,Merryweather,21,,,,,,,R,R,CHC,2025,21,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,20250319,20250523,merrj001,available,t
130123,Eli,Morgan,21,,,,,,,R,R,CHC,2025,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20250318,20250414,morge001,available,t
130213,Daniel,Palencia,21,,,,,,,R,R,CHC,2025,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,20250415,20251011,paled001,available,t
130225,Nate,Pearson,21,,,,,,,R,R,CHC,2025,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,20250319,20250808,pearn001,available,t
130271,Drew,Pomeranz,21,,,,,,,R,L,CHC,2025,63,63,5,58,0,0,0,0,0,0,0,0,0,0,0,0,20250425,20251011,pomed001,available,t
130280,Ryan,Pressly,21,,,,,,,R,R,CHC,2025,44,44,0,44,0,0,0,0,0,0,0,0,0,0,0,0,20250319,20250729,presr001,available,t
130312,Colin,Rea,21,,,,,,,R,R,CHC,2025,35,35,27,8,0,0,0,0,0,0,0,0,0,0,0,0,20250330,20251011,rea-c001,available,t
130333,Ethan,Roberts,21,,,,,,,R,R,CHC,2025,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20250409,20250720,robee001,available,t
130360,Taylor,Rogers,21,,,,,,,L,L,CHC,2025,18,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,20250802,20251001,roget001,available,t
130413,Carlos,Santana,21,,,,,,,B,R,CHC,2025,8,0,0,0,0,6,0,0,0,0,0,0,0,2,2,0,20250901,20250923,santc002,available,t
130457,Matt,Shaw,21,,,,,,,R,R,CHC,2025,134,0,0,0,0,0,4,132,0,0,0,0,0,0,5,0,20250318,20251011,shawm002,available,t
130504,Michael,Soroka,21,,,,,,,R,R,CHC,2025,8,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,20250804,20251004,sorom001,available,t
130522,Justin,Steele,21,,,,,,,L,L,CHC,2025,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20250319,20250407,steej002,available,t
130564,Seiya,Suzuki,21,,,,,,,R,R,CHC,2025,159,0,0,0,0,0,0,0,0,15,1,40,56,102,2,0,20250318,20251011,suzus001,available,t
130566,Dansby,Swanson,21,,,,,,,R,R,CHC,2025,167,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,20250318,20251011,swand001,available,t
130569,Jameson,Taillon,21,,,,,,,R,R,CHC,2025,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,20250328,20251008,tailj001,available,t
129193,Spencer,Bivens,30,,,,,,,R,R,SF,2025,54,54,0,54,0,0,0,0,0,0,0,0,0,0,0,0,20250329,20250928,bives001,available,t
129194,Mason,Black,30,,,,,,,R,R,SF,2025,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20250704,20250704,blacm001,available,t
130676,David,Villar,30,,,,,,,R,R,SF,2025,9,0,0,0,0,8,0,1,0,0,0,0,0,1,2,0,20250420,20250518,villd001,available,t
130683,LaMonte,Wade,30,,,,,,,L,L,SF,2025,50,0,0,0,0,45,0,0,0,0,0,0,0,2,8,0,20250327,20250602,wadel001,available,t
130693,Ryan,Walker,30,,,,,,,R,R,SF,2025,68,68,0,68,0,0,0,0,0,0,0,0,0,0,0,0,20250327,20250927,walkr001,available,t
130709,Logan,Webb,30,,,,,,,R,R,SF,2025,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,20250327,20250928,webbl001,available,t
129692,Thomas,Hatch,9,,,,,,,R,R,KC,2025,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20250801,20250801,hatct001,available,t
129800,Griffin,Jax,4,,,,,,,R,R,TB,2025,23,23,2,21,0,0,0,0,0,0,0,0,0,0,0,0,20250803,20250927,jax-g001,available,t
130255,Tristan,Peters,4,,,,,,,L,R,TB,2025,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,20250808,20250813,petet002,available,t
130456,Ian,Seymour,4,,,,,,,L,L,TB,2025,19,19,5,14,0,0,0,0,0,0,0,0,0,0,0,0,20250609,20250928,seymi001,available,t
129404,J. D.,Davis,13,,,,,,,R,R,LAA,2025,5,0,0,0,0,4,0,1,0,0,0,0,0,0,2,0,20250410,20250427,davij006,available,t
129405,Logan,Davidson,13,,,,,,,B,R,LAA,2025,10,1,0,1,0,8,0,0,0,0,0,0,0,0,2,0,20250905,20250918,davil002,available,t
129854,Yusei,Kikuchi,13,,,,,,,L,L,LAA,2025,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,20250327,20250924,kikuy001,available,t
129556,Freddie,Freeman,28,,,,,,,L,R,LAD,2025,164,0,0,0,0,163,0,0,0,0,0,0,0,0,2,0,20250327,20251101,freef001,available,t
130384,Esteury,Ruiz,28,,,,,,,R,R,LAD,2025,19,0,0,0,0,0,0,0,0,12,0,5,17,0,3,4,20250703,20250804,ruize001,available,t
130388,Dalton,Rushing,28,,,,,,,L,R,LAD,2025,54,0,0,0,41,8,0,0,0,0,0,0,0,1,10,0,20250515,20251008,rushd001,available,t
129943,Jorge,Lopez,20,,,,,,,R,R,WSH,2025,26,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,20250330,20250529,lopej004,available,t
129951,Brad,Lord,20,,,,,,,R,R,WSH,2025,48,48,19,29,0,0,0,0,0,0,0,0,0,0,0,0,20250330,20250928,lordb001,available,t
129954,Ryan,Loutos,20,,,,,,,R,R,WSH,2025,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20250614,20250803,loutr001,available,t
129960,Nathaniel,Lowe,20,,,,,,,L,R,WSH,2025,119,0,0,0,0,115,0,0,0,0,0,0,0,3,2,0,20250327,20250813,lowen001,available,t
129705,Ryan,Helsley,25,,,,,,,R,R,STL,2025,36,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,20250327,20250725,helsr001,available,t
129595,Justin,Garza,18,,,,,,,R,R,NYM,2025,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20250610,20250620,garzj001,available,t
129704,Ryan,Helsley,18,,,,,,,R,R,NYM,2025,22,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,20250801,20250928,helsr001,available,t
129210,Cam,Booser,6,,,,,,,L,L,CWS,2025,39,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,20250327,20250927,boosc001,available,t
129353,Mike,Clevinger,6,,,,,,,R,R,CWS,2025,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,20250327,20250415,clevm001,available,t
129476,Brandon,Eisert,6,,,,,,,L,L,CWS,2025,72,72,3,69,0,0,0,0,0,0,0,0,0,0,0,0,20250331,20250927,eiseb001,available,t
129479,Tim,Elko,6,,,,,,,R,R,CWS,2025,23,0,0,0,0,20,0,0,0,0,0,0,0,3,1,1,20250510,20250902,elkot001,available,t
129480,Fraser,Ellard,6,,,,,,,L,L,CWS,2025,18,18,3,15,0,0,0,0,0,0,0,0,0,0,0,0,20250330,20250926,ellaf001,available,t
129554,Caleb,Freeman,6,,,,,,,R,R,CWS,2025,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20250505,20250604,freec002,available,t
129621,Yoendrys,Gomez,6,,,,,,,R,R,CWS,2025,12,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,20250515,20250926,gomey002,available,t
129628,Wikelman,Gonzalez,6,,,,,,,R,R,CWS,2025,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,20250620,20250920,gonzw002,available,t
129791,Travis,Jankowski,6,,,,,,,L,R,CWS,2025,7,0,0,0,0,0,0,0,0,0,2,5,6,0,2,1,20250327,20250404,jankt001,available,t
129993,Davis,Martin,6,,,,,,,L,R,CWS,2025,26,26,25,1,0,0,0,0,0,0,0,0,0,0,0,0,20250330,20250925,martd006,available,t
130006,Nick,Maton,6,,,,,,,L,R,CWS,2025,25,0,0,0,0,5,1,0,0,1,0,1,2,14,6,1,20250327,20250508,maton001,available,t
